repo_path,repo_name,last_commit_date,days_since_commit,primary_language,remote_url,directory
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/platform-automation-vsphere","platform-automation-vsphere","2020-10-11",1930,"terraform","https://github.com/malston/platform-automation-vsphere.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/tanzu-homelab","tanzu-homelab","2025-12-06",48,"unknown","https://github.com/malston/tanzu-homelab.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/amplifier-bundle-superpowers-obra","amplifier-bundle-superpowers-obra","2026-01-09",14,"unknown","https://github.com/obra/amplifier-bundle-superpowers.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/release-monitor","release-monitor","2025-09-17",128,"python","https://github.com/malston/release-monitor.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/vcf-offline-depot","vcf-offline-depot","2025-12-02",52,"docker","https://github.com/malston/vcf-offline-depot.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/prolific","prolific","2021-09-14",1592,"go","https://github.com/onsi/prolific.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/homelab-legacy","homelab-legacy","2025-11-28",56,"unknown","git@github.com:malston/homelab-legacy.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/claudeup-superpowers","claudeup-superpowers","2026-01-20",3,"unknown","https://github.com/claudeup/claudeup-superpowers.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/bosh-operator","bosh-operator","2025-11-27",57,"unknown","https://github.com/malston/bosh-operator.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/diego-capacity-analyzer","diego-capacity-analyzer","2026-01-23",0,"unknown","git@github.com:malston/diego-capacity-analyzer.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/powershell-scripts","powershell-scripts","2025-09-19",126,"unknown","https://github.com/malston/powershell-scripts.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/vsphere-with-tanzu-proof-of-concept-samples","vsphere-with-tanzu-proof-of-concept-samples","2025-07-03",204,"unknown","https://github.com/vmware-tanzu-experiments/vsphere-with-tanzu-proof-of-concept-samples.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/vcf-fleet-automated-lab-deployment","vcf-fleet-automated-lab-deployment","2025-09-03",142,"unknown","https://github.com/lamw/vcf-fleet-automated-lab-deployment.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/homelab","homelab","2025-12-17",37,"unknown","git@github.com:malston/homelab.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/bosh-mock-director","bosh-mock-director","2025-11-26",58,"go","https://github.com/malston/bosh-mock-director.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/tile-diff","tile-diff","2025-12-22",32,"go","https://github.com/malston/tile-diff.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/shepherd","shepherd","2023-03-24",1036,"go","https://gitlab.eng.vmware.com/shepherd/shepherd.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/tas-icm-paving","tas-icm-paving","2021-06-18",1680,"unknown","https://github.com/vmware-tanzu-learning/tas-icm-paving","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/diego-capacity-analyzer.wiki","diego-capacity-analyzer.wiki","2026-01-09",14,"unknown","https://github.com/malston/diego-capacity-analyzer.wiki.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/profiles-private","profiles-private","2025-12-12",42,"unknown","https://github.com/claudeup/profiles-private.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/claudeup","claudeup","2026-01-20",3,"go","git@github.com:claudeup/claudeup.git","workspace"
"/sessions/keen-gracious-wozniak/mnt/markalston/workspace/tanzu-platform-sbom-service","tanzu-platform-sbom-service","2025-12-15",39,"go","https://github.com/malston/cf-sbom-service.git","workspace"
